exhibition,file name (case sensitive),title,description
relation_relay,maya_zehavi.jpg,“relation_relay” Installation view,
relation_relay,maya_zehavi_2.jpg,“relation_relay” Installation view,
relation_relay,maya_zehavi_1.jpg,“relation_relay” Installation view,
relation_relay,DSC_2637.JPG,Untitled (2020),"Self made clay, woven raw silk"
relation_relay,DSC_2638.JPG,Untitled (2020),"Self made clay, woven raw silk"
relation_relay,DSC_2826.JPG,Untitled (2020),"Self made clay, woven raw silk"
relation_relay,DSC_2661-Edit.JPG,“relation_relay” Installation view,
relation_relay,DSC_2674.JPG,Fragment view,"Furniture remains, gypsum, plaster, woven raw silk, glazed ceramics, fabric"
relation_relay,DSC_2685-Edit.JPG,(Connector),Casted bronze
relation_relay,DSC_2687-Edit.JPG,Mother Carrier (2020),"Plaster, furniture remains, woven silk, ceramic figure"
relation_relay,DSC_2697.JPG,Mother Carrier (2020),"Plaster, furniture remains, woven silk, ceramic figure"
relation_relay,DSC_2709-Edit.JPG,Untitled (2020),"Plaster, ceramics, porcelain, casted bronze"
relation_relay,DSC_2720.JPG,Untitled (2020),"Plaster, ceramics, porcelain, casted bronze"
relation_relay,DSC_2722-Edit.JPG,“relation_relay” Installation view,
relation_relay,DSC_2724-Edit.JPG,Untitled (2020),"Furniture remains, plastered fabric, ceramic figure"
relation_relay,DSC_2729-Edit.JPG,Untitled (2020),"Furniture remains, plastered fabric, ceramic figure"
relation_relay,DSC_2738-Edit.JPG,Untitled (2020),"Furniture remains, plastered fabric, ceramic figure"
relation_relay,DSC_2754-Edit.JPG,“relation_relay” Installation view,
relation_relay,DSC_2764-Edit.JPG,“relation_relay” Installation view,
relation_relay,DSC_2615.JPG,Untitled (2020),"Upholstery fabric , stuffing material, porcelain"
relation_relay,DSC_2783.JPG,Close-up,"Upholstery fabric , stuffing material, porcelain"
relation_relay,DSC_2784.JPG,Close-up,"Upholstery fabric , stuffing material, porcelain"
relation_relay,DSC_2794.JPG,Close-up,"Upholstery fabric , stuffing material, porcelain"
relation_relay,DSC_2799.JPG,Woven silk and ceramic figure close-up,
relation_relay,DSC_2811.JPG,Fragment close-up,
relation_relay,DSC_2835.JPG,Fragment view(2020) ,"Furniture remains, gypsum, plaster, woven raw silk, glazed ceramics, porcelain, fabric"
relation_relay,DSC_2836.JPG,Fragment view(2020),"Furniture remains, gypsum, plaster, woven raw silk, glazed ceramics, porcelain, fabric"
relation_relay,DSC_2843.JPG,Fragment view(2020),"Furniture remains, gypsum, plaster, woven raw silk, glazed ceramics, porcelain, fabric"
relation_relay,DSC_2845.JPG,“relation_relay” Installation view,
relation_relay,DSC_2855-Edit.JPG,Untitled (2020),"Ceramic figure, fabric, latex"
relation_relay,DSC_2917.JPG,Untitled (2020),"Self made clay, woven raw silk, upholstery fabric, stuffing material"
relation_relay,DSC_2922.JPG,Untitled (2020),"Self made clay, woven raw silk, upholstery fabric, stuffing material"
relation_relay,DSC_2894.JPG,“relation_relay” Installation view,
relation_relay,DSC_2890.JPG,Ceramic figure close-up,
relation_relay,DSC_2941.JPG,Fragment close-up,
relation_relay,DSC_2936.JPG,Ceramic figure close-up,
relation_relay,DSC_2937.JPG,Ceramic figure close-up,
relation_relay,DSC_2885.JPG,Ceramic figure close-up,
relation_relay,DSC_2860.JPG,Fragment close-up,
relation_relay,DSC_2857.JPG,Fragment close-up,
relation_relay,DSC_2869.JPG,Fragment close-up,"(Connector), 2020, casted bronze"
relation_relay,DSC_2883.JPG,Fragment close-up,
tfu_tfu,(1).jpg,“tfu_tfu” (2019) Installation view,
tfu_tfu,(2).jpg,Untitled (2019),"Printed fabric, cement, glazed ceramics, parsley roots"
tfu_tfu,(4).jpg,Untitled (2019),"Printed fabric, cement, glazed ceramics, parsley roots"
tfu_tfu,(6).jpg,“tfu_tfu” (2019) Installation view,
tfu_tfu,(7).jpg,Untitled (2019),"Various fabrics, cement, glazed ceramics"
tfu_tfu,(12).jpg,Untitled (2019),"Glazed ceramics, raw wool"
tfu_tfu,(13).jpg,“tfu_tfu” (2019) Installation view,
tfu_tfu,(14).jpg,Braid-holding weigh (2019),"Raw wool, fabric, resin, plaster"
tfu_tfu,(15).jpg,Braid-holding weigh (2019),"Raw wool, fabric, resin, plaster"
tfu_tfu,(16).jpg,“tfu_tfu” (2019) Installation view,
tfu_tfu,(17).jpg,Untitled (2019),"Glazed ceramics, felted raw wool"
tfu_tfu,(18).jpg,Untitled (2019),Glazed ceramics
tfu_tfu,(19).jpg,Untitled (2019),"Glazed ceramics, raw wool"
tfu_tfu,(21).jpg,“tfu_tfu” (2019) Installation view,
tfu_tfu,(22).jpg,Untitled (Dancer) 2019,"Wood, felted wool, unburnt clay, plaster, wire"
tfu_tfu,(23).jpg,Untitled (Dancer) 2019,"Wood, felted wool, unburnt clay, plaster, wire"
tfu_tfu,IMG_0051.jpg,Felted wool close-up,
tfu_tfu,(24).jpg,“tfu_tfu” (2019) Installation view,
other_works,IMG_5442.CR2,Fragments (2017),"Fabric, stuffing material, rope"
other_works,IMG_5441.jpeg,Fragments (2017),"Fabric, stuffing material, rope"
other_works,IMG_5449.jpeg,Fragments (2017),"Fabric, stuffing material, rope"
other_works,IMG_2343.JPG,Isha (2018),"Latex on fabric, pigmented latex on plaster, gypsum, hair, 3d animation"
other_works,IMG_2362.JPG,Isha (2018),"Latex on fabric, pigmented latex on plaster, gypsum, hair, 3d animation"
other_works,IMG_2348fix.jpg,Isha (2018),"Latex on fabric, pigmented latex on plaster, gypsum, hair, 3d animation"
other_works,bIMG_2703 copy copy.jpg,"Fragment from the exhibition “Princessפרינסס""","Wood, paper mache, ready-made vessel. Blanket: fabric, stuffing material, artificial feathers."
other_works,bIMG_2745 copy copy.jpg,Close-up,"Fabric, stuffing material, artificial feathers."
other_works,IMG_2542 copy.jpg,"Fragment from the exhibition “Princessפרינסס""","Felted wool, unburnt clay, wire structure."
